americunt
as_hell 
ass 
asshole
bastard
bitch
brainwashed
bull
bullcrap 
butthurt
cock
cocksucker
crap
cunt
cunts 
damn
damnit
devil
dick
Discourse Bin
dog
dogs
douchebag
dumbass
dumbfuck 
fuck 
fuck_off 
fuck_up
fuckass 
fucked
fucked_up 
fucken
fucker
fuckhead 
fuckin 
fucking  
fucks 
fucktard 
gay
go_to_hell
goatfuckers.
god
god-king
going_to_hell
hell
hole
idiot
idiotic 
incompetent
islam
jesus
Judgement of appearance
Kin 
lesbian
look_stupid
moron
motherfucker
motherfucking 
my_god
piece
piss
pissed
pussy
queer
racist
rape
raped
raping
rapists 
retard
retardation
sandniggers
scumbag
shit
shithead 
shit-hole 
shitstain 
shitty 
stupid
stupidity
suck
suckers 
sucking
thank_god
the_hell 
vagina. 
nigger
nigga
niggas
faggot
faggots
faggot_club
fag
fags
retarded
delusional
worthless
douche
brainwashed
islamophobia
